headline,category,short_description
"House Moves Toward OK Of Dems' Sweeping Social, Climate Bill",POLITICS,"Biden's Build Back Better bill would bolster child care assistance, create free preschool, curb seniors’ prescription drug costs and beef up efforts to slow climate change."
India To Repeal Controversial Farm Laws That Led To Protests,WORLD NEWS,"Farmers protested for a year, arguing the laws would devastate their earnings by ending guaranteed pricing."
Police In Memphis Hunt For Suspects In Young Dolph’s Killing,CRIME,"Young Dolph was in Memphis doing charity work, including visiting a cancer treatment center and giving away turkeys at a church ahead of Thanksgiving."
Switzerland Will Allow First Same-Sex Weddings In July 2022,WORLD NEWS,"An overwhelming majority of Swiss voters approved the ""Marriage for All"" initiative via a September referendum."
More Americans Than Ever Understand Climate Change Is Real And Harmful,ENVIRONMENT,"About 3 in 4 survey respondents believe global warming is happening, and more than half agree that we are being harmed by climate change “right now.”"
BBC Host Reveals Shocking Homemade Gift He Once Gave A Girlfriend,ENTERTAINMENT,People had some biting remarks after Tom Hepworth told colleague Alexis Green about his creative present.
Emergency Request Filed As Execution Looms For Julius Jones In Oklahoma,U.S. NEWS,"The state’s Pardon and Parole Board twice voted in favor of granting clemency to Jones, who has long maintained his innocence."
"Under Pressure, Apple Will Allow Self-Repairs To iPhones, Macs",TECH,The company has long prohibited users to repair their own devices. The shift reflects a strengthening “right to repair” movement.
Biden 'Confident' Build Back Better Will Be Passed 'Within A Week',POLITICS,The president predicted quick action on the massive domestic policy bill.
Britney Spears Says She Hopes Her Story Will Effect Change In A 'Corrupt System',ENTERTAINMENT,"""I'm here to be an advocate for people with real disabilities and real illnesses,"" the pop star said just days after being freed from a 13-year conservatorship."
"Michael Savarino, Mike Krzyzewski's Grandson Who Plays For Duke, Faces DUI Charge",SPORTS,"""We'll handle that internally,"" the Duke coach said after Savarino and star teammate Paolo Banchero were pulled over."
Defense Starts In Trial Over Killing Of Ahmaud Arbery,U.S. NEWS,The prosecution rested on Tuesday after eight days of testimony from 23 witnesses.
Senator Amy Klobuchar Shares Good News About Her Breast Cancer Diagnosis,POLITICS,Early detection of breast cancer greatly increases survival rates.
Phillie Phanatic Is Back! Team Mascot Settles Legal Dispute,SPORTS,"“We welcome the original Phillie Phanatic back with open arms,” Phillies executive vice president David Buck said Tuesday."
"Train Slices Amazon Delivery Truck In Half, Driver Unhurt",U.S. NEWS,"“Yeah, it just, boom,"" Alexander Evans recalled of his lucky escape."
San Francisco 49ers Player Makes Incredible 'Buttception',SPORTS,"Sadly, things ended on a bum note, as K'Waun Williams was called for pass interference for his cheeky play."
Wyoming GOP Says It Won’t Recognize Rep. Liz Cheney As A Republican Anymore,POLITICS,"Cheney has continued to level criticism at Donald Trump, saying lawmakers who refuse to do so are complicit in his election lies."
Russia Rejects Accusations Of Endangering Astronauts Aboard ISS With Weapons Test,WORLD NEWS,A White House official said the move by Russia would threaten activities in space “for years to come.”
Hitchhiking Roadrunner Somehow Ends Up In Maine,WEIRD NEWS,"The bird spent four days in the storage area of a moving van from Las Vegas to Westbrook, Maine."
Pfizer Agrees To Let Other Companies Make Its COVID-19 Pill,WORLD NEWS,"The deal with a U.N.-backed group could make the treatment, which is yet to be authorized, available to more than half of the world's population."
Sen. Patrick Leahy Not Running For Reelection,POLITICS,The Senate’s longest-serving Democrat is retiring after 47 years in office — the latest major retirement ahead of 2022's midterm elections.
Thousands Of Military Families Struggling With Food Insecurity,POLITICS,"As many as 29% of troops in the most junior enlisted ranks faced food insecurity during the previous year, according to Feeding America."
2021 MTV EMAs Displays Support For LGBTQ People During Ceremony In Hungary,ENTERTAINMENT,Sunday's event gave artists like Kim Petras and Lil Nas X an opportunity to speak out against local laws that have curtailed LGBTQ rights.
U.S. Journalist Danny Fenster Freed From Myanmar Jail With Ex-Diplomat's Aid,WORLD NEWS,"“This is the day that you hope will come when you do this work,” said Bill Richardson, former U.S. ambassador to the U.N."
"Blast Outside Liverpoool Hospital Was Terrorist Incident, UK Police Say",WORLD NEWS,"British police say the blast in a taxi that killed a man was caused by an improvised explosive device, but the motive remains unclear."
Joe Biden And Xi Jinping Prepare For First Presidential Meeting,POLITICS,White House officials have set low expectations for Monday’s virtual meeting.
"Queen Sprains Back, Misses Remembrance Sunday Service",ENTERTAINMENT,Buckingham Palace says Queen Elizabeth II has sprained her back and will not attend the Remembrance Sunday service.
"As COVID-19 Surges In Eastern Europe, Leaders Slow To Act",WORLD NEWS,"While medical workers pleaded for tough restrictions or even lockdowns, leaders let the virus rage unimpeded for weeks."
Sen. John Barrasso Refuses To Condemn Trump For Defending 'Hang Mike Pence' Chants,POLITICS,"The Wyoming Republican instead praised Trump for bringing ""a lot of energy to the party."""
Blake Lively Is Making Her Directorial Debut With Taylor Swift's New Music Video,ENTERTAINMENT,"Lively will direct the music video for ""I Bet You Think About Me,” a track that scorches the singer's fame-obsessed ex-boyfriend."
Adam Schiff: Steve Bannon Indictment Will 'Without A Doubt' Sway Others,POLITICS,"""If they don’t fulfill their lawful duty when subpoenaed... they too may be prosecuted,” said the Democrat, who's on the committee investigating Jan. 6."
Disney’s ‘Eternals’ Tops Domestic Box Office For 2nd Weekend,ENTERTAINMENT,"Marvel’s “Eternals” took a steep drop in its second weekend in theaters, but it’s still hanging on to first place ahead of newcomers like “Clifford the Big Red Dog.”"
Steve Bannon Hosts Podcast As 'Bannon Indicted' News Appears On TV Behind Him,POLITICS,Things got real meta for Donald Trump's former White House strategist after his indictment on Friday.
Kremlin Denies Troop Buildup Near Ukraine Border Signals Plan To Invade,WORLD NEWS,"“Russia doesn’t threaten anyone,” said a Kremlin spokesman."
Parkland Students Are Still Trying To Heal While Pushing Gun Reform,POLITICS,Many of the student activists were publicly quiet when the 2018 shooter pleaded guilty last month.
How Kyrsten Sinema Went From Social Worker To Centrist,POLITICS,"Once a self-styled “Prada socialist” labeled as “too extreme” by Arizona Democrats, U.S. Sen. Sinema (D-Ariz.) has found new power as a centrist in an evenly split Senate."
"Disney Debuts 'Tiana' First Look, Continuing Legacy Of Groundbreaking Princess",ENTERTAINMENT,"The musical series, which picks up from 2009's ""The Princess and the Frog,"" will hit the streaming service in 2023."
"With Dems' Prized Bill At Stake, A Numbers Game Looms Ahead",POLITICS,Democrats’ $1.85 trillion package of social and climate initiatives seems afflicted by a maddening parade of hurdles.
Good COP Bad COP: Was The UN's Climate Summit Actually A Success?,WORLD NEWS,COP26 was hailed as a last-gasp chance to halt the climate crisis before it destroys our way of life for good. Did it work?
Sen. Lisa Murkowski Announces Reelection Bid Opposed By Trump,POLITICS,"Trump, who has focused his political efforts on punishing his political opponents, endorsed a leading opponent of Murkowski in June."
"As Virus Surges, Colorado Opens Up COVID Boosters To All Adults",POLITICS,"Gov. Jared Polis (D) defied federal guidance on COVID-19 booster shots, issuing an order allowing all residents 18 years old and older to get them."
Climate Conference Reverses Course On Call To End Coal Use,ENVIRONMENT,"An earlier proposal at the 2021 United Nations Climate Change Conference called on nations to ""accelerate the phasing out of coal and subsidies for fossil fuel."""
Myanmar Court Sentences American Journalist Danny Fenster To 11 Years In Jail,MEDIA,"He was found guilty on several charges, including incitement for allegedly spreading false or inflammatory information."
Lizzy Caplan Will Take On Glenn Close's Role In 'Fatal Attraction' TV Remake,ENTERTAINMENT,"The Paramount+ version is billed as a “deep-dive reimagining” of the original and, if Close has her way, could offer a more nuanced take on mental health."
‘13 Going On 30’ Actor Who Played Young Jenna Just Turned 30,ENTERTAINMENT,"Christa B. Allen, who starred alongside Jennifer Garner in the rom-com, celebrated by analyzing what the genre teaches girls about womanhood."
"Death Threats, Tweets Jolt GOP Infrastructure Supporters",POLITICS,"“This madness has to stop,” said Rep. Fred Upton, R-Mich., an 18-term moderate, who said his offices received dozens of threatening calls following his yes vote."
Judge Overturns Texas Ban On School Mask Mandates In Blow To GOP Governor,POLITICS,"“No student should be forced to make the choice of forfeiting their education or risking their health,"" an attorney said."
House Democrats Move To Censure GOP Rep. Paul Gosar Over Violent Video,POLITICS,Ten Democrats said they will introduce a resolution to censure the Arizona Republican.
Oklahoma Gov. Orders State To Stop Issuing Nonbinary Birth Certificates,POLITICS,Gov. Kevin Stitt also urged the passage of legislation to prohibit nonbinary designations on birth certificates altogether in 2022.
Illness Of 'Dolphin Tale' Star Prompts Florida Aquarium To Close 1 Day,ENTERTAINMENT,"Winter, the prosthetic-tailed dolphin, is now in critical condition from a suspected infection."
Netflix's 'Single All The Way' Trailer Has Holiday High Jinks And Jennifer Coolidge,ENTERTAINMENT,"Debuting Dec. 2, the gay romantic comedy finds Michael Urie feeling less than merry after getting caught up in a Christmas love triangle."
North America's Rarest Mammal Makes 'Surprise Appearance' In Colorado Garage,ENVIRONMENT,The garage-crashing black-footed ferret surprised a homeowner in Pueblo West.
Jimmy Kimmel Taunts ‘Idiot’ Jan. 6 Rioter Who Begged ‘Cult Leader’ Trump For Help,ENTERTAINMENT,"Jenna Ryan bragged she was “definitely not going to jail."" Guess where she's going now."
"U.S. Should Take Heed Of Europe, Pandemic's New Epicenter, WHO Official Warns",WORLD NEWS,"While coronavirus cases have stabilized or decreased everywhere else, they're rising in the WHO's European region."
McDonald's Tweet Announcing Mariah Carey Partnership Has Twitter Users Confused,ENTERTAINMENT,The tweet showed Carey standing in a red dress in front of what appears to be an underwater McDonald's.
Nikola Jokic Unleashes 'Nasty Cheap Shot' At Markieff Morris In Ugliest Play Of Season,SPORTS,"The Denver Nuggets star, ejected after his blindside hit, said he felt bad because Morris' ""head snapped back."""
